"atc_code","atc_display","dwh_wirkstoff","found_ask","found_cas","found_ocas","cas_display","cas_source","ocas_source","action_miikds","action_import","action_import_2","comment"
"B01AC06|N02BA01|N02BA13","Acetylsalicylsaeure|Acetylsalicylsaeure|Lysin-Acetylsalicylat","Acetylsalicylsäure","2","50-78-2","","Acetylsalicylsäure (Ph.Eur.)","BfArM AMIce","","","add_cas_code","",""
"A16AB04","Agalsidase beta","Agalsidase beta","39225","104138-64-9","","Agalsidase beta","BfArM BEZVO","","use_ocas_code_primary","","",""
"L04AA04","Antithymozytaeres Immunglobulin (Kaninchen)","Anti-Human-T-Lymphozyten-Immunglobuline von Kaninchen","31182","308067-60-9","","Anti-Human-T-Lymphozyten-Immunglobulin vom Kaninchen","DrugBank","","","add_cas_code","",""
"P01BB51","Proguanil und Atovaquon","Atovaquon","26531","95233-18-4","","Atovaquon","USP","","","add_cas_code","",""
"B02BD02|B02BD06","Blutgerinnungsfaktor VIII|Von Willebrand-Faktor und Blutgerinnungsfaktor VIII in Kombination","Blutgerinnungsfaktor VIII (human)","8625","9001-27-8","","Blutgerinnungsfaktor Ⅷ","NLM MeSH","","","add_cas_code","add_cas_name",""
"B01AB09","Danaparoid","Danaparoid natrium","29861","308068-55-5","","Danaparoid-Natrium ((MW: ca. 5500 Da))","NCATS GSRS (UNII BI6GY4U9CW)","","","add_cas_code","add_cas_name",""
"H02AB02","Dexamethason","Dexamethason 21-palmitat","3505","14899-36-6","","Dexamethason-21-palmitat","PubChem CID 63044","","","add_cas_code","",""
"N06AA12","Doxepin","Doxepin","764","1668-19-5","","Doxepin","BfArM BEZVO","","use_ocas_code_primary","","",""
"R04AP30","Kombinationen","Eucalyptusöl","36051","8000-48-4","","Eucalyptusöl, raffiniert","PubChem; ECHA","","","add_cas_code","add_cas_name",""
"A06AX01","Glycerol","Glycerol 85%","12816","56-81-5","","Glycerol 85%","BfArM BEZVO","","use_ocas_code_primary","","",""
"B01AB01|C05BA03","Heparin|Heparin","Heparin natrium vom Schwein","1165","9041-08-1","","Heparin-Natrium","BfArM BEZVO","","use_ocas_code_primary","","add_cas_name",""
"N05CP30","Kombinationen","Hopfenzapfen-Trockenextrakt","1128","8060-28-4","","Hopfenzapfen","PubChem CID 23308253","","","add_cas_code","add_cas_name",""
"S01KA02|S01XC05","Hypromellose|Hypromellose","Hypromellose","1333","9004-65-3","","Hypromellose ((ohne Angaben zum Substitutionstyp und zur Viskosität))","BfArM BEZVO","","use_ocas_code_primary","","add_cas_name",""
"C03BA11","Indapamid","Indapamid-0,5-Wasser","12253","180004-24-4","","Indapamid-Hemihydrat","PubChem CID 23725081","","","add_cas_code","add_cas_name",""
"R04AP30","Kombinationen","Kiefernnadelöl","1747","8023-99-2","","Kiefernnadelöl","PubChem","","","add_cas_code","",""
"A06AD65","Macrogol, Kombinationen","Macrogol 3350","51317","25322-68-3","","Macrogol 3350","BfArM BEZVO","","use_ocas_code_primary","","",""
"A06AD15","Macrogol","Macrogol 4000","51320","25322-68-3","","Macrogol 4000","BfArM BEZVO","","use_ocas_code_primary","","",""
"A06AA01","Dickfluessiges Paraffin","Paraffin, dickflüssiges","242","8012-95-1","8042-47-5","Dickflüssiges Paraffin","BfArM BEZVO","PubChem","use_ocas_code_primary","add_ocas_code","",""
"X99XF01","","Paraffin, dünnflüssiges","243","8012-95-1","8042-47-5","Dünnflüssiges Paraffin","BfArM BEZVO","PubChem","use_ocas_code_primary","add_ocas_code","","invalid ATC Code in DWH, is removed in FHIR Mapping"
"A07FA02","Saccharomyces boulardii","Saccharomyces boulardii, Trockenhefe","1480","68876-77-7","","Trockenhefe aus Saccharomyces cerevisiae","PubChem SID 505880243","","","add_cas_code","add_cas_name",""
"B01AB10","Tinzaparin","Tinzaparin natrium","26757","9041-08-1","","Tinzaparin-Natrium","BfArM BEZVO","","use_ocas_code_primary","","",""
"A09AA02","Multienzyme (Lipase, Protease etc.)","Triacylglycerollipase","4955","9001-62-1","","Triacylglycerol-Lipase","BfArM BEZVO","","use_ocas_code_primary","","add_cas_name",""
"X99XB01","","Vaselin, weißes","334","8009-03-8","","Weißes Vaselin","BfArM BEZVO","","use_ocas_code_primary","","add_cas_name","invalid ATC Code in DWH, is removed in FHIR Mapping"
"B02BD06","Von Willebrand-Faktor und Blutgerinnungsfaktor VIII in Kombination","Von Willebrand-Faktor","21440","109319-16-6","","Von Willebrand-Faktor","NCATS Inxight Drugs","","","add_cas_code","add_cas_name",""
"V07AB01","Wasser","Wasser für Injektionszwecke","343","7732-18-5","","Wasser für Injektionszwecke","BfArM BEZVO","","use_ocas_code_primary","","",""
"A01AB02","Wasserstoffperoxid","Wasserstoffperoxid-Lösung 3%","12947","7722-84-1","","Wasserstoffperoxid-Lösung 3%","BfArM BEZVO","","use_ocas_code_primary","","",""
"A12CB05|B05XA26","Zinkhydrogenaspartat|Zinkhydrogenaspartat","Zinkbis(hydrogen-DL-aspartat)","5630","15281-32-0","","Zinkbis(hydrogen-ᴅʟ-aspartat)","PubChem CID 131953541","","","add_cas_code","add_cas_name",""
