"atc_code","atc_display","dwh_wirkstoff","found_ask","cas_display","cas_name_source","action_import","comment"
"C01CA03","Norepinephrin","(R)-Norepinephrin","441","Norepinephrin","BfArM BEZVO","add_cas_name",""
"V10XX05","(177Lu)Lutetiumvipivotidtetraxetan","[177Lu]Lutetium vipivotid tetraxetan","46023","(177Lu)Lutetiumvipivotidtetraxetan","BfArM BEZVO","add_cas_name",""
"V03AB27","4-Dimethylaminophenol","4-Dimethylaminophenol hydrochlorid","12512","4-(Dimethylamino)phenol-hydrochlorid","BfArM BEZVO","add_cas_name",""
"S01EB09","Acetylcholin","Acetylcholin chlorid","4165","Acetylcholinchlorid","BfArM BEZVO","add_cas_name",""
"R03AL05|R03BB05","Formoterol und Aclidiniumbromid|Aclidiniumbromid","Aclidinium-Kation","36290","Aclidinium","BfArM BEZVO","add_cas_name",""
"G04CA01","Alfuzosin","Alfuzosin hydrochlorid","22549","Alfuzosinhydrochlorid","BfArM BEZVO","add_cas_name",""
"B02AB02","Alfa1-Antitrypsin","Alpha-1-Antitrypsin human","24763","Alpha-1-Proteinase-Inhibitor (human)","BfArM BEZVO","add_cas_name",""
"N04BB01","Amantadin","Amantadin hemisulfat","3928","Amantadinhemisulfat","BfArM BEZVO","add_cas_name",""
"R05CB06|R07AA03","Ambroxol|Ambroxol","Ambroxol hydrochlorid","13436","Ambroxolhydrochlorid","BfArM BEZVO","add_cas_name",""
"C03EA33","Bendroflumethiazid und Amilorid","Amilorid hydrochlorid-2-Wasser","22436","Amiloridhydrochlorid-Dihydrat","BfArM BEZVO","add_cas_name",""
"C01BD01","Amiodaron","Amiodaron hydrochlorid","21609","Amiodaronhydrochlorid","BfArM BEZVO","add_cas_name",""
"J02AA01","Amphotericin B","AmphotericinB","456","Amphotericin B","BfArM BEZVO","add_cas_name",""
"L04AA03","Antilymphozytaeres Immunglobulin (Pferd)","Anti-Human-T-Lymphozyten-Immunglobuline vom Pferd","31183","Anti-Human-T-Lymphozyten-Immunglobulin vom Pferd","Pfizer SDS","add_cas_name","Equine anti-T-lymphocyte immunoglobulin; Pfizer SDS states that no CAS is assigned."
"L04AA04","Antithymozytaeres Immunglobulin (Kaninchen)","Anti-Human-T-Lymphozyten-Immunglobuline von Kaninchen","31182","Anti-Human-T-Lymphozyten-Immunglobulin vom Kaninchen","BfArM BEZVO","add_cas_name",""
