"atc_display","atc_code","dwh_wirkstoff","found_ask","found_cas","found_ocas","cas_display","cas_source","ocas_source","action_import","comment"
"Anti-D(rh)-Immunglobulin","J06BB01","Anti-D-Immunglobulin vom Menschen","","887269-77-4","","Rho(D) Immune Globulin","NCBI LactMed","","add_new_substance",""
"Apfelfruchtextrakt","A07XP05","Apfelfrucht-Pulver","","85251-63-4","","Apple, Malus sylvestris, ext.","ECHA CHEM","","add_new_substance",""
"Atropin|Atropin","A03BA01|V03AB44","Atropinsulfat, wasserfrei","","55-48-1","","Atropinsulfat, wasserfrei","PubChem CID 5927","","add_new_substance",""
"Atropin","A03BA01","Atropinsulfat-1-Wasser","","5908-99-6","","Atropinsulfat, Monohydrat","Sigma-Aldrich|PubChem","","add_new_substance",""
"Kombinationen","N05CP30","Baldrianwurzel-Trockenextrakt (3-6:1); Auszugsmittel: Ethanol 70% (V/V)","1038","","8057-49-6","Valeriana officinalis root extract","","PubChem SID 135331255","add_new_substance","Generic extract CAS, not solvent-specific (ASK 1038 = ethanol extract)"
"Cytomegalievirus-Immunglobulin","J06BB09","Cytomegalie-Immunglobulin vom Menschen","","339086-15-6","","Human cytomegalovirus immune globulin","NCATS GSRS (UNII 129L90A25N)","","add_new_substance",""
"Eosin","D03AX00","Eosin","","17372-87-1","","Eosin","PubChem CID 11048","","add_new_substance",""
"Escherichia coli, Stamm Nissle 1917|Escherichia coli","A07EF01|A07FA03","Escherichia coli; Stamm Nissle 1917","","","68583-22-2","Escherichia coli","","EPA SRS CAS 68583-22-2","add_new_substance","General E. coli CAS, no specific to strain Nissle 1917"
"Ispaghula (Flohsamen)","A06AC01","Flohsamenschalen, indische","","8063-16-9","","Plantaginis ovatae testa","PubChem SID 135282130","","add_new_substance",""
"Hepatitis B, gereinigtes Antigen","J07BC01","Hepatitis-B-Impfstoff, rekombiniert, monovalent","","104504-34-9","","Hepatitis B vaccine","PubChem CID 16132438","","add_new_substance","Recombinant hepatitis B vaccine has a CAS but no corresponding BEZVO ASK."
"Lidocain, Kombinationen","A01AE51","Kamillenblüten-Extrakt","","84082-60-0","","Chamomilla recutita flower extract","GDCh|CosIng","","add_new_substance","Chamomile flower extract has CAS 84082-60-0"
"Lidocain, Kombinationen","A01AE51","Salbeiblätter-Fluidextrakt","","84082-79-1","","Salbeiblätter-Fluidextrakt","PubChem SID 482021594","","add_new_substance","General CAS for Salvia officinalis leaf extract, fluid-extract preparation is unspecified"
"Natuerliche Phospholipide aus Schweinelunge","R07AA04","Surfactant vom Schwein","","129069-19-8","","Poractant alfa","PubChem|EMA","","add_new_substance","120 mg/1.5 ml product strength identifies poractant alfa"
