import_id,medikation_id,medication_resource_id,code_text,code_coding_version_atc_bfarm,code_coding_code_atc_bfarm,code_coding_display_atc_bfarm,code_coding_code_pzn,code_coding_display_pzn,ingredient_item_text_1,ingredient_item_coding_code_cas_1,ingredient_item_coding_display_cas_1,ingredient_item_coding_code_ask_1,ingredient_strength_numerator_value_1,ingredient_strength_numerator_code_1,ingredient_strength_numerator_unit_1,ingredient_strength_denominator_value_1,ingredient_strength_denominator_code_1,ingredient_strength_denominator_unit_1,ingredient_item_text_2,ingredient_item_coding_code_cas_2,ingredient_item_coding_display_cas_2,ingredient_item_coding_code_ask_2,ingredient_strength_numerator_value_2,ingredient_strength_numerator_code_2,ingredient_strength_numerator_unit_2,ingredient_strength_denominator_value_2,ingredient_strength_denominator_code_2,ingredient_strength_denominator_unit_2,ingredient_item_text_3,ingredient_item_coding_code_cas_3,ingredient_item_coding_display_cas_3,ingredient_item_coding_code_ask_3,ingredient_strength_numerator_value_3,ingredient_strength_numerator_code_3,ingredient_strength_numerator_unit_3,ingredient_strength_denominator_value_3,ingredient_strength_denominator_code_3,ingredient_strength_denominator_unit_3,cas_quelle_1,cas_quelle_2,cas_quelle_3,original_wirkstoff_1,original_wirkstoff_2,original_wirkstoff_3,comment
7628,ab12561689,df59344c8089917103060eab46859c24,"2,4-Dichlorbenzylalkohol, Amylmetacresol und Levomenthol  1,2 mg + 0,6 mg + 5,72 mg",2026,R02AA50,"Andere Antiseptika, Kombinationen",12561689,,"2,4-Dichlorbenzylalkohol",1777-82-8,"2,4-Dichlorbenzylalkohol",5680,1.2,mg,milligramm,,,,Amylmetacresol,1300-94-3,Amylmetacresol,22101,0.6,mg,milligramm,,,,Levomenthol,2216-51-5,Levomenthol,193,5.72,mg,milligramm,,,,BfArM BEZVO ASK #05680,BfArM BEZVO ASK #22101,BfArM BEZVO ASK #00193,2,4-Dichlorbenzylalkohol,Amylmetacresol,"Corrected split at the comma in 2,4-Dichlorbenzylalkohol; Levomenthol restored as position 3."
8799,user0B09207FCE,3ffd8d193e8d4b0222ff4ed654ae52d7,"2,4-Dichlorbenzylalkohol, Amylmetacresol und Levomenthol  1,2 mg + 0,6 mg + 5,72 mg",2026,R02AA50,"Andere Antiseptika, Kombinationen",12561689,,"2,4-Dichlorbenzylalkohol",1777-82-8,"2,4-Dichlorbenzylalkohol",5680,1.2,mg,milligramm,,,,Amylmetacresol,1300-94-3,Amylmetacresol,22101,0.6,mg,milligramm,,,,Levomenthol,2216-51-5,Levomenthol,193,5.72,mg,milligramm,,,,BfArM BEZVO ASK #05680,BfArM BEZVO ASK #22101,BfArM BEZVO ASK #00193,2,4-Dichlorbenzylalkohol,Amylmetacresol,"Corrected split at the comma in 2,4-Dichlorbenzylalkohol; Levomenthol restored as position 3."
8935,fam_ab3341761600,c591b91b709b31cad35b12061ea2f9e7,"2,4-Dichlorbenzylalkohol, Amylmetacresol und Levomenthol  1,2 mg + 0,6 mg + 5,72 mg",2026,R02AA50,"Andere Antiseptika, Kombinationen",,,"2,4-Dichlorbenzylalkohol",1777-82-8,"2,4-Dichlorbenzylalkohol",5680,1.2,mg,milligramm,,,,Amylmetacresol,1300-94-3,Amylmetacresol,22101,0.6,mg,milligramm,,,,Levomenthol,2216-51-5,Levomenthol,193,5.72,mg,milligramm,,,,BfArM BEZVO ASK #05680,BfArM BEZVO ASK #22101,BfArM BEZVO ASK #00193,2,4-Dichlorbenzylalkohol,Amylmetacresol,"Corrected split at the comma in 2,4-Dichlorbenzylalkohol; Levomenthol restored as position 3."
9020,user0B08B02A22,0156cc881d53878535c0acbe99b18c0a,"2,4-Dichlorbenzylalkohol, Amylmetacresol und Levomenthol  1,2 mg + 0,6 mg + 5,72 mg",2026,R02AA50,"Andere Antiseptika, Kombinationen",12561689,,"2,4-Dichlorbenzylalkohol",1777-82-8,"2,4-Dichlorbenzylalkohol",5680,1.2,mg,milligramm,,,,Amylmetacresol,1300-94-3,Amylmetacresol,22101,0.6,mg,milligramm,,,,Levomenthol,2216-51-5,Levomenthol,193,5.72,mg,milligramm,,,,BfArM BEZVO ASK #05680,BfArM BEZVO ASK #22101,BfArM BEZVO ASK #00193,2,4-Dichlorbenzylalkohol,Amylmetacresol,"Corrected split at the comma in 2,4-Dichlorbenzylalkohol; Levomenthol restored as position 3."
2813,user0B08B3D839,1a033f5865a736a033d250fe104f06ea,"Aprepitant, Fosaprepitant",2026,A04AD12,"Aprepitant, Fosaprepitant",,,Aprepitant,170729-80-3,Aprepitant,31323,,,,,,,Fosaprepitant,172673-20-0,Fosaprepitant,35627,,,,,,,,,,,,,,,,,BfArM BEZVO ASK #31323,BfArM BEZVO ASK #35627,,"Aprepitant, Fosaprepitant",,,Split combination name into Aprepitant and Fosaprepitant; source strength 0.0 treated as missing.
2826,user0B08B3D884,1c64bf1874486c5b1dd60621b683f83c,"Aprepitant, Fosaprepitant",2026,A04AD12,"Aprepitant, Fosaprepitant",,,Aprepitant,170729-80-3,Aprepitant,31323,,,,,,,Fosaprepitant,172673-20-0,Fosaprepitant,35627,,,,,,,,,,,,,,,,,BfArM BEZVO ASK #31323,BfArM BEZVO ASK #35627,,"Aprepitant, Fosaprepitant",,,Split combination name into Aprepitant and Fosaprepitant; source strength 0.0 treated as missing.
5963,ab14313642,799d0aa9a27a8797c15d51533d827344,"Aprepitant, Fosaprepitant",2026,A04AD12,"Aprepitant, Fosaprepitant",,,Aprepitant,170729-80-3,Aprepitant,31323,,,,,,,Fosaprepitant,172673-20-0,Fosaprepitant,35627,,,,,,,,,,,,,,,,,BfArM BEZVO ASK #31323,BfArM BEZVO ASK #35627,,"Aprepitant, Fosaprepitant",,,Split combination name into Aprepitant and Fosaprepitant; source strength 0.0 treated as missing.
5985,ab16237170,4a9451f957753c357919bac58f7ad885,"Aprepitant, Fosaprepitant",2026,A04AD12,"Aprepitant, Fosaprepitant",,,Aprepitant,170729-80-3,Aprepitant,31323,,,,,,,Fosaprepitant,172673-20-0,Fosaprepitant,35627,,,,,,,,,,,,,,,,,BfArM BEZVO ASK #31323,BfArM BEZVO ASK #35627,,"Aprepitant, Fosaprepitant",,,Split combination name into Aprepitant and Fosaprepitant; source strength 0.0 treated as missing.
6182,fam_ab3349901600,ccc1394133d8f2c404b2359be52bcf23,"Aprepitant, Fosaprepitant",2026,A04AD12,"Aprepitant, Fosaprepitant",,,Aprepitant,170729-80-3,Aprepitant,31323,,,,,,,Fosaprepitant,172673-20-0,Fosaprepitant,35627,,,,,,,,,,,,,,,,,BfArM BEZVO ASK #31323,BfArM BEZVO ASK #35627,,"Aprepitant, Fosaprepitant",,,Split combination name into Aprepitant and Fosaprepitant; source strength 0.0 treated as missing.
6191,fam_ab3350372100,22d8841ad83d5272d8354fef4553890d,"Aprepitant, Fosaprepitant",2026,A04AD12,"Aprepitant, Fosaprepitant",,,Aprepitant,170729-80-3,Aprepitant,31323,,,,,,,Fosaprepitant,172673-20-0,Fosaprepitant,35627,,,,,,,,,,,,,,,,,BfArM BEZVO ASK #31323,BfArM BEZVO ASK #35627,,"Aprepitant, Fosaprepitant",,,Split combination name into Aprepitant and Fosaprepitant; source strength 0.0 treated as missing.
10529,user0B0923D889,49a29de2400cb22356070df182032701,"Aprepitant, Fosaprepitant",2026,A04AD12,"Aprepitant, Fosaprepitant",14313642,,Aprepitant,170729-80-3,Aprepitant,31323,,,,,,,Fosaprepitant,172673-20-0,Fosaprepitant,35627,,,,,,,,,,,,,,,,,BfArM BEZVO ASK #31323,BfArM BEZVO ASK #35627,,"Aprepitant, Fosaprepitant",,,Split combination name into Aprepitant and Fosaprepitant; source strength 0.0 treated as missing.
8128,user0B08B06BA6,9a9daa112bfb937bee27c8298b506f1b,"Citronensäure, Bismut-Kalium-Salz (2:1:5)-1,5-Wasser, Tetracyclin hydrochlorid und Metronidazol  140 mg + 125 mg + 125 mg",2026,A02BD08,"Bismutsubcitrat, Tetracyclin und Metronidazol",09705624,,"Citronensäure, Bismut-Kalium-Salz (2:1:5)-1,5-Wasser",880149-29-1,Citronensäure-Bismut-Kalium-Salz (2:1:5) Hydrat,37139,140.0,mg,milligramm,,,,Tetracyclin hydrochlorid,64-75-5,Tetracyclinhydrochlorid,321,125.0,mg,milligramm,,,,Metronidazol,443-48-1,Metronidazol,1913,125.0,mg,milligramm,,,,PubChem CID 91667825,BfArM BEZVO ASK #00321,BfArM BEZVO ASK #01913,Citronensäure,Bismut-Kalium-Salz (2:1:5)-1,5-Wasser,Corrected split at internal commas; strengths reassigned to the three actual ingredients.
8457,user0B092088CD,28ff8eb65de8cf122cff2de97b88ebd0,"Citronensäure, Bismut-Kalium-Salz (2:1:5)-1,5-Wasser, Tetracyclin hydrochlorid und Metronidazol  140 mg + 125 mg + 125 mg",2026,A02BD08,"Bismutsubcitrat, Tetracyclin und Metronidazol",,,"Citronensäure, Bismut-Kalium-Salz (2:1:5)-1,5-Wasser",880149-29-1,Citronensäure-Bismut-Kalium-Salz (2:1:5) Hydrat,37139,140.0,mg,milligramm,,,,Tetracyclin hydrochlorid,64-75-5,Tetracyclinhydrochlorid,321,125.0,mg,milligramm,,,,Metronidazol,443-48-1,Metronidazol,1913,125.0,mg,milligramm,,,,PubChem CID 91667825,BfArM BEZVO ASK #00321,BfArM BEZVO ASK #01913,Citronensäure,Bismut-Kalium-Salz (2:1:5)-1,5-Wasser,Corrected split at internal commas; strengths reassigned to the three actual ingredients.
8885,ab9705624,d6ec2b5324b585f6f9d3288039830b97,"Citronensäure, Bismut-Kalium-Salz (2:1:5)-1,5-Wasser, Tetracyclin hydrochlorid und Metronidazol  140 mg + 125 mg + 125 mg",2026,A02BD08,"Bismutsubcitrat, Tetracyclin und Metronidazol",,,"Citronensäure, Bismut-Kalium-Salz (2:1:5)-1,5-Wasser",880149-29-1,Citronensäure-Bismut-Kalium-Salz (2:1:5) Hydrat,37139,140.0,mg,milligramm,,,,Tetracyclin hydrochlorid,64-75-5,Tetracyclinhydrochlorid,321,125.0,mg,milligramm,,,,Metronidazol,443-48-1,Metronidazol,1913,125.0,mg,milligramm,,,,PubChem CID 91667825,BfArM BEZVO ASK #00321,BfArM BEZVO ASK #01913,Citronensäure,Bismut-Kalium-Salz (2:1:5)-1,5-Wasser,Corrected split at internal commas; strengths reassigned to the three actual ingredients.
8961,fam_ab3345977400,75debded6260cf66e1bc59ba906c5f00,"Citronensäure, Bismut-Kalium-Salz (2:1:5)-1,5-Wasser, Tetracyclin hydrochlorid und Metronidazol  140 mg + 125 mg + 125 mg",2026,A02BD08,"Bismutsubcitrat, Tetracyclin und Metronidazol",,,"Citronensäure, Bismut-Kalium-Salz (2:1:5)-1,5-Wasser",880149-29-1,Citronensäure-Bismut-Kalium-Salz (2:1:5) Hydrat,37139,140.0,mg,milligramm,,,,Tetracyclin hydrochlorid,64-75-5,Tetracyclinhydrochlorid,321,125.0,mg,milligramm,,,,Metronidazol,443-48-1,Metronidazol,1913,125.0,mg,milligramm,,,,PubChem CID 91667825,BfArM BEZVO ASK #00321,BfArM BEZVO ASK #01913,Citronensäure,Bismut-Kalium-Salz (2:1:5)-1,5-Wasser,Corrected split at internal commas; strengths reassigned to the three actual ingredients.
8293,ab3126813,8c95338bc0b106a22765829b9e790b8b,"D-Gluconsäure, Calciumsalz-1-Wasser und Calcium dilactat-5-Wasser  500 mg/10 ml + 350 mg/10 ml",2026,A12AA20,Calcium (verschiedene Salze in Kombination),03126813,,"D-Gluconsäure, Calciumsalz-1-Wasser",66905-23-5,Calciumgluconat-Monohydrat,60,500.0,mg,milligramm,10.0,mL,milliliter,Calcium dilactat-5-Wasser,63690-56-2,Calciumlactat-Pentahydrat,62,350.0,mg,milligramm,10.0,mL,milliliter,,,,,,,,,,,BfArM BEZVO ASK #00060,BfArM BEZVO ASK #00062,,D-Gluconsäure,Calciumsalz-1-Wasser,,Corrected calcium gluconate name split; calcium lactate restored as position 2.
