atc_code,atc_display,dwh_wirkstoff,found_ask,cas_display,cas_name_source,action_import,comment
C01CA03,Norepinephrin,(R)-Norepinephrin,441,Norepinephrin,BEZVO CSV,add_cas_name,
V03AB27,4-Dimethylaminophenol,4-Dimethylaminophenol hydrochlorid,12512,4-(Dimethylamino)phenol-hydrochlorid,BEZVO CSV,add_cas_name,
S01EB09,Acetylcholin,Acetylcholin chlorid,4165,Acetylcholinchlorid,BEZVO CSV,add_cas_name,
R03AL05|R03BB05,Formoterol und Aclidiniumbromid|Aclidiniumbromid,Aclidinium-Kation,36290,Aclidinium,BEZVO CSV,add_cas_name,"DWH names the Aclidinium cation; map to ASK 36290 / CAS 727649-81-2, pending form confirmation."
G04CA01,Alfuzosin,Alfuzosin hydrochlorid,22549,Alfuzosinhydrochlorid,BEZVO CSV,add_cas_name,
B02AB02,Alfa1-Antitrypsin,Alpha-1-Antitrypsin human,24763,Alpha-1-Proteinase-Inhibitor (human),BEZVO CSV,add_cas_name,
N04BB01,Amantadin,Amantadin hemisulfat,3928,Amantadinhemisulfat,BEZVO CSV,add_cas_name,
R05CB06|R07AA03,Ambroxol|Ambroxol,Ambroxol hydrochlorid,13436,Ambroxolhydrochlorid,BEZVO CSV,add_cas_name,
C03EA33,Bendroflumethiazid und Amilorid,Amilorid hydrochlorid-2-Wasser,22436,Amiloridhydrochlorid-Dihydrat,BEZVO CSV,add_cas_name,
C01BD01,Amiodaron,Amiodaron hydrochlorid,21609,Amiodaronhydrochlorid,BEZVO CSV,add_cas_name,
J02AA01,Amphotericin B,AmphotericinB,456,Amphotericin B,BEZVO CSV,add_cas_name,
L04AA03,Antilymphozytaeres Immunglobulin (Pferd),Anti-Human-T-Lymphozyten-Immunglobuline vom Pferd,31183,Anti-Human-T-Lymphozyten-Immunglobulin vom Pferd,https://cdn.pfizer.com/pfizercom/products/material_safety_data/ATGAM.pdf,add_cas_name,Equine anti-T-lymphocyte immunoglobulin; Pfizer SDS states that no CAS is assigned.
B01AB02,"Antithrombin III, Antithrombin alfa",Antithrombin III,21692,Antithrombin Ⅲ,BEZVO CSV,add_cas_name,
N04BC07,Apomorphin,"Apomorphin hydrochlorid-0,5-Wasser",13012,Apomorphinhydrochlorid-Hemihydrat,BEZVO CSV,add_cas_name,
B01AE03,Argatroban,Argatroban-1-Wasser,41075,Argatroban-Monohydrat,BEZVO CSV,add_cas_name,
B05XB01,Argininhydrochlorid,Arginin hydrochlorid,831,Argininhydrochlorid,BEZVO CSV,add_cas_name,
N01BB58,"Articain, Kombinationen",Articain hydrochlorid,10986,Articainhydrochlorid,BEZVO CSV,add_cas_name,
A03BA01|S01FA01,Atropin|Atropin,Atropinsulfat-1-Wasser,41,Atropinsulfat (Ph.Eur.),BEZVO CSV,add_cas_name,
S01AA26,Azithromycin,Azithromycin-2-Wasser,26116,Azithromycin-Dihydrat,BEZVO CSV,add_cas_name,
R03AK08|R03AL09|R03BA01,"Formoterol und Beclometason|Formoterol, Glycopyrroniumbromid und Beclometason|Beclometason",Beclometason dipropionat,4359,Beclometasondipropionat (Ph.Eur.),BEZVO CSV,add_cas_name,
R02AA56|R02AX03,"Cetylpyridinium, Kombinationen|Benzydamin",Benzydamin hydrochlorid,6165,Benzydaminhydrochlorid,BEZVO CSV,add_cas_name,
