ingredient_item_text,ingredient_positions,atc_code,atc_display,ingredient_coding_code_cas,ingredient_coding_display_cas,ingredient_coding_code_ask,found_ask_id,found_cas_code,found_cas_display,cas_quelle,action,comment,dirty_type,corrected_ingredient_text,corrected_ingredient_positions,additional_ask_id,additional_cas_code,additional_cas_display
(R)-Norepinephrin,1,C01CA03,Norepinephrin,,,,441,51-41-2,Norepinephrin,BfArM BEZVO ASK #00441,add_name_mapping,,,,,,,
2,1,R02AA50,"Andere Antiseptika, Kombinationen",,Cresol-Gemisch,3929,,,,BfArM BEZVO ASK #03929,wrong_split_dwh,"Wrong split of 2,4-Dichlorbenzylalkohol; the current Cresol mapping is a false match.",,,,,,
4-Dichlorbenzylalkohol,2,R02AA50,"Andere Antiseptika, Kombinationen",,,,5680,,,BfArM BEZVO ASK #05680,wrong_split_dwh,"Wrong split of 2,4-Dichlorbenzylalkohol; correct upstream, as Levomenthol is also lost.",,,,,,
4-Dimethylaminophenol hydrochlorid,1,V03AB27,4-Dimethylaminophenol,,,,12512,5882-48-4,4-(Dimethylamino)phenol-hydrochlorid,BfArM BEZVO ASK #12512,add_name_mapping,,,,,,,
4-Hydroxybutansäure,1,N01AX11,Natriumoxybat,,,,7410,591-81-1,4-Hydroxybutansäure,BfArM BEZVO ASK #07410,check_mapping_or_join,"CAS exists in DGH but is missing in ClickHouse; check join, normalization, or refresh.",,,,,,
5-Wasser,3,A02BD08,"Bismutsubcitrat, Tetracyclin und Metronidazol",,,,,,,,wrong_split_dwh,Hydrate suffix of the bismuth complex; the DWH split and Citronensäure match are incorrect.,,,,,,
ANDERE DIÄTETIKA n.n.bez.,1,V06D0,,,,,,,,,not_mappable_general_category,Non-specific dietetic category; no single CAS applies.,,,,,,
Acetylcholin chlorid,1,S01EB09,Acetylcholin,,,,4165,60-31-1,Acetylcholinchlorid,BfArM BEZVO ASK #04165,add_name_mapping,,,,,,,
Acetylsalicylsäure,1,B01AC06,Acetylsalicylsaeure,,Acetylsalicylsäure (Ph.Eur.),2,2,50-78-2,Acetylsalicylsäure (Ph.Eur.),BfArM AMIce,add_missing_cas_code,CAS is missing in ClickHouse; BfArM lists ASK 00002 / CAS 50-78-2.,,,,,,
Acetylsalicylsäure,1,N02BA01,Acetylsalicylsaeure,,Acetylsalicylsäure (Ph.Eur.),2,2,50-78-2,Acetylsalicylsäure (Ph.Eur.),BfArM AMIce,add_missing_cas_code,,,,,,,
Acetylsalicylsäure,1,N02BA13,Lysin-Acetylsalicylat,,Acetylsalicylsäure (Ph.Eur.),2,2,50-78-2,Acetylsalicylsäure (Ph.Eur.),BfArM AMIce,add_missing_cas_code,,,,,,,
Aclidinium-Kation,1,R03AL05,Formoterol und Aclidiniumbromid,,,,36290,727649-81-2,Aclidinium,BfArM BEZVO ASK #36290,add_name_mapping,"DWH names the Aclidinium cation; map to ASK 36290 / CAS 727649-81-2, pending form confirmation.",,,,,,
Aclidinium-Kation,1,R03BB05,Aclidiniumbromid,,,,36290,727649-81-2,Aclidinium,BfArM BEZVO ASK #36290,add_name_mapping,,,,,,,
Agalsidase beta,1,A16AB04,Agalsidase beta,,Agalsidase beta,39225,39225,104138-64-9,Agalsidase beta,BfArM BEZVO ASK #39225,add_missing_cas_code,BfArM bezvo lists 104138-64-9 as alternative CAS,,,,,,
Alfuzosin hydrochlorid,1,G04CA01,Alfuzosin,,,,22549,81403-68-1,Alfuzosinhydrochlorid,BfArM BEZVO ASK #22549,add_name_mapping,,,,,,,
Alpha-1-Antitrypsin human,1,B02AB02,Alfa1-Antitrypsin,,,,24763,9041-92-3,Alpha-1-Proteinase-Inhibitor (human),BfArM BEZVO ASK #24763,add_name_mapping,,,,,,,
Amantadin hemisulfat,1,N04BB01,Amantadin,,,,3928,31377-23-8,Amantadinhemisulfat,BfArM BEZVO ASK #03928,add_name_mapping,,,,,,,
Ambroxol hydrochlorid,1,R05CB06,Ambroxol,,,,13436,23828-92-4,Ambroxolhydrochlorid,BfArM BEZVO ASK #13436,add_name_mapping,,,,,,,
Ambroxol hydrochlorid,1,R07AA03,Ambroxol,,,,13436,23828-92-4,Ambroxolhydrochlorid,BfArM BEZVO ASK #13436,add_name_mapping,,,,,,,
Amilorid hydrochlorid-2-Wasser,2,C03EA33,Bendroflumethiazid und Amilorid,,,,22436,17440-83-4,Amiloridhydrochlorid-Dihydrat,BfArM BEZVO ASK #22436,add_name_mapping,,,,,,,
Amiodaron hydrochlorid,1,C01BD01,Amiodaron,,,,21609,19774-82-4,Amiodaronhydrochlorid,BfArM BEZVO ASK #21609,add_name_mapping,,,,,,,
"Amphotericin B, liposomal",1,J02AA01,Amphotericin B,,,,456,1397-89-3,Amphotericin B,BfArM BEZVO ASK #00456,dirty_ingredient_text,"Map to Amphotericin B (ASK 00456 / CAS 1397-89-3); ""liposomal"" is formulation only.",formulation_descriptor_in_ingredient_text,,,,,
AmphotericinB,1,J02AA01,Amphotericin B,,,,456,1397-89-3,Amphotericin B,BfArM BEZVO ASK #00456,add_name_mapping,,,,,,,
Andere Diagnostika n.n.bez.,1,V04CX00,,,,,,,,,not_mappable_general_category,non-specific product/therapeutic category,,,,,,
"Andere Hals- und Rachentherapeutika, Kombinationen",1,R02AX50,"Andere Hals- und Rachentherapeutika, Kombinationen",,,,,,,,not_mappable_general_category,non-specific product/therapeutic category,,,,,,
Andere Verbandmittel n.n.bez.,1,D09AC00,,,,,,,,,not_mappable_general_category,non-specific product/therapeutic category,,,,,,
Andere Wundbehandlungsmittel,1,D03AX20,Andere Wundbehandlungsmittel,,,,,,,,not_mappable_general_category,non-specific product/therapeutic category,,,,,,
"Andere Wundbehandlungsmittel, Kombinationen",1,D03AX50,"Andere Wundbehandlungsmittel, Kombinationen",,,,,,,,not_mappable_general_category,non-specific product/therapeutic category,,,,,,
Andere ophthalmologische Diagnostika,1,S01JX,,,,,,,,,not_mappable_general_category,non-specific product/therapeutic category,,,,,,
Anti-D-Immunglobulin vom Menschen,1,J06BB01,Anti-D(rh)-Immunglobulin,,,,,887269-77-4,Rho(D) Immune Globulin,NCBI LactMed,add_new_substance,,,,,,,
Anti-Human-T-Lymphozyten-Immunglobuline vom Pferd,1,L04AA03,Antilymphozytaeres Immunglobulin (Pferd),,,,31183,,Anti-Human-T-Lymphozyten-Immunglobulin vom Pferd,Pfizer SDS,add_name_mapping,Equine anti-T-lymphocyte immunoglobulin; Pfizer SDS states that no CAS is assigned.,,,,,,
Anti-Human-T-Lymphozyten-Immunglobuline von Kaninchen,1,L04AA04,Antithymozytaeres Immunglobulin (Kaninchen),,,,31182,308067-60-9,Anti-Human-T-Lymphozyten-Immunglobulin vom Kaninchen,DrugBank,add_missing_cas_code,,,,,,,
Antithrombin III,1,B01AB02,"Antithrombin III, Antithrombin alfa",,,,21692,9000-94-6,Antithrombin Ⅲ,BfArM BEZVO ASK #21692,add_name_mapping,,,,,,,
Apfelfrucht-Pulver,1,A07XP05,Apfelfruchtextrakt,,,,, 85251-63-4,"Apple, Malus sylvestris, ext.",ECHA CHEM,add_new_substance,,,,,,,
"Apomorphin hydrochlorid-0,5-Wasser",1,N04BC07,Apomorphin,,,,13012,41372-20-7,Apomorphinhydrochlorid-Hemihydrat,BfArM BEZVO ASK #13012,add_name_mapping,,,,,,,
